number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8825434995112414,2026-03-25 23:38:25.993762,2026-03-25 23:38:26.507401,0 days 00:00:00.513639,0.7467983561008608,0.5986584841970366,0.061053157936408836,5,3.248192869770288,2.5502648504032812e-08,2.9154431891537547,0.7468055921327309,COMPLETE
1,0.8812825024437927,2026-03-25 23:38:26.533157,2026-03-25 23:38:26.836287,0 days 00:00:00.303130,0.7637017332034828,0.9699098521619943,0.0938393881004349,5,1.0336843570697403,1.8740223688836284e-07,0.00541524411940254,0.9497327922401265,COMPLETE
2,0.8789521016617792,2026-03-25 23:38:26.857640,2026-03-25 23:38:27.224341,0 days 00:00:00.366701,0.7418481581956126,0.2912291401980419,0.05343048274530412,4,2.0040871876541555,1.109206841853616e-06,0.029204338471814112,0.8835558684167139,COMPLETE
