mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.2695468266805013,0.032192245947036506,0.026737451553344727,0.001390317019472728,1.0,0.1,5,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.8}",0.9018716409804348,0.8935145620193397,0.8921865289517938,0.8958575773171894,0.004287006668706431,1
0.3217175801595052,0.0327071765593388,0.026299715042114258,0.00479534118270166,0.8,0.1,5,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 0.8}",0.9008257986595072,0.8929595145277224,0.8918516987774412,0.8952123373215569,0.0039949989635909835,2
0.30702392260233563,0.007247776534874228,0.023534854253133137,0.00038647028206590495,0.8,0.1,5,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 1.0}",0.9001666661963488,0.8902501577554809,0.8894537286406025,0.8932901841974773,0.004873265732159379,3
0.271251122156779,0.036362944597911895,0.018367767333984375,0.0014553379545716738,1.0,0.1,5,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'subsample': 1.0}",0.8988392843382182,0.8915044956241984,0.8889262490142319,0.8930900096588829,0.004199401417605949,4
0.9433335463205973,0.28028064577266576,0.030333677927652996,0.0024410598691496665,0.8,0.05,5,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8}",0.8975887451910898,0.8899657963108117,0.8907664582868894,0.8927736665962637,0.0034204289502681594,5
0.36486538251241046,0.03399397261624361,0.04523921012878418,0.011830068732019361,1.0,0.05,5,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'subsample': 0.8}",0.8977128005846992,0.8900994027758452,0.8902938973212067,0.8927020335605836,0.0035440369316657476,6
0.23593807220458984,0.026058387917508502,0.022820472717285156,0.0015443942647396622,1.0,0.1,3,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8}",0.8960949793273572,0.8887452127967859,0.8903372027473223,0.8917257982904885,0.0031570994283099075,7
0.29477890332539874,0.027541525526546377,0.029365936915079754,0.004785225932747696,0.8,0.1,3,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 0.8}",0.8953840757156846,0.8886240878455453,0.8903458855395259,0.8914513497002519,0.002868320909416628,8
0.31282655398050946,0.043290417769736925,0.026203155517578125,0.0036166380024394156,1.0,0.05,5,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'subsample': 1.0}",0.896151851616291,0.888508823779042,0.8883589370786268,0.8910065374913199,0.003638801046975995,9
0.3461036682128906,0.0017925295130740543,0.029688278834025066,0.004820277446652434,0.8,0.05,5,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'subsample': 1.0}",0.8953674698755951,0.8885445317619795,0.8884956910558339,0.890802564231136,0.0032279373197915038,10
0.2626609007517497,0.013986619761569404,0.029142300287882488,0.00699819873613559,1.0,0.1,3,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0}",0.8949315937069726,0.8862910215804288,0.8870980871157566,0.8894402341343861,0.003896931370634889,11
0.2802981535593669,0.016236769587800418,0.029197533925374348,0.00469508883858568,0.8,0.1,3,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'subsample': 1.0}",0.8938834721530915,0.8854414103633031,0.8874520194329572,0.8889256339831172,0.0036005329880897546,12
0.2599310874938965,0.02277611862311448,0.031882286071777344,0.006992333267333975,1.0,0.05,3,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8}",0.8892162542738332,0.8842236487567435,0.8845929930301056,0.8860109653535608,0.0022714916677346944,13
0.9669825236002604,0.22564040251802384,0.03509680430094401,0.014169989915876124,0.8,0.05,3,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8}",0.8898436945454482,0.8829407662086566,0.8826869030716029,0.8851571212752359,0.0033155279505070307,14
0.24632859230041504,0.01379170133625622,0.021680355072021484,0.0033378451721674703,1.0,0.05,3,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 1.0}",0.888681936948602,0.8829542245365722,0.883556918850407,0.8850643601118603,0.002569819284992504,15
1.0699628988901775,0.017992678586865752,0.056007703145345054,0.013271615656167428,0.8,0.05,3,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 1.0}",0.8889616313924615,0.881559225434156,0.8826264491308851,0.8843824353191675,0.0032671617767279764,16
