CentreName,LearnerCode,BookingType,LeadSource,DiscountType,Gender,Age,Nationality,CourseLevel,academic_stage,subject_cluster,delivery_variant,IsFirstIntake,CompletedCourse,dropout,progression_degree_level,ProgressionUniversity
UK_NE_04,6095260362,Agent,Standard Agent Booking,,Female,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,3939343348,Agent,Standard Agent Booking,,Male,29,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,584715967,Agent,Standard Agent Booking,Other Scholarships / Bursaries,Female,22,Indian,Foundation,International Foundation Year,Engineering,standard,False,Yes,0,BSc,UK_NE_05
UK_NE_04,3878464301,Agent,Standard Agent Booking,Bursary,Female,22,Bahraini,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,9392027948,Agent,Standard Agent Booking,,Male,23,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,8424652664,Agent,Standard Agent Booking,,Male,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BSc,UK_NE_05
UK_NE_04,5594051086,Agent,Standard Agent Booking,,Female,23,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,2736127754,Agent,Standard Agent Booking,,Female,21,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,5329489374,Agent,Standard Agent Booking,,Female,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,7762992409,Direct,Digital (Web),,Female,26,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,3765602294,Direct,APD,,Female,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,5679901574,Agent,Sponsor,Other Scholarships / Bursaries,Male,22,Kuwaiti,Foundation,International Foundation Year,Engineering,standard,False,Yes,0,BEng,UK_NE_05
UK_NE_04,2964144320,Agent,Standard Agent Booking,Bursary,Female,24,Sri Lankan,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,LLB,UK_NE_05
UK_NE_04,1799153396,Agent,Standard Agent Booking,,Female,29,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,9566781681,Agent,Standard Agent Booking,,Male,23,Hong Kong Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BSc,UK_NE_05
UK_NE_04,2108327844,Direct,Sponsor,,Female,23,Saudi,Foundation,International Foundation Year,Engineering,standard,False,Yes,0,BEng,UK_NE_05
UK_NE_04,4929866268,Agent,Standard Agent Booking,,Male,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,3121667224,Agent,Standard Agent Booking,,Male,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,7283057752,Agent,Standard Agent Booking,,Male,25,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,2008487141,Agent,Standard Agent Booking,,Female,24,Taiwanese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,3049495485,Agent,Standard Agent Booking,,Male,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
